model;id;voltage_class;def_type;years_periods_include;SRG_limit_value_dz;H2_limit_value_dz;CH4_limit_value_dz;C2H6_limit_value_dz;C2H4_limit_value_dz;C2H2_limit_value_dz;CO_limit_value_dz;CO2_limit_value_dz;SRG_limit_value_pdz;H2_limit_value_pdz;CH4_limit_value_pdz;C2H6_limit_value_pdz;C2H4_limit_value_pdz;C2H2_limit_value_pdz;CO_limit_value_pdz;CO2_limit_value_pdz;oil_brand;rpn_type;equipment_power
analysis_app.TransformersLimitValues_35_220_STO;1;35;н/д;[0,6];0.074;0.02;0.01;0.0035;0.009;0.0025;0.03;0.3;;;;;;;;;[Не указан,ГК,Nytro];[Не указан,RS-3,RS-4];[0,1001]
analysis_app.TransformersLimitValues_35_220_STO;2;35;н/д;[5,31];0.024;0.01;0.003;0.0035;0.009;0.0025;0.03;0.3;;;;;;;;;[Не указан,ГК,Nytro];[Не указан,RS-3,RS-4];[0,1001]
analysis_app.TransformersLimitValues_35_220_STO;3;35;н/д;[30,1001];0.024;0.01;0.003;0.0035;0.009;0.0025;0.035;0.4;;;;;;;;;[Не указан,ГК,Nytro];[Не указан,RS-3,RS-4];[0,1001]
analysis_app.TransformersLimitValues_35_220_STO;4;110;плёночная защита;[0,6];0.025;0.01;0.009;0.004;0.01;0.0008;0.07;0.5;;;;;;;;;[Не указан,ГК,Nytro];[Не указан,RS-3,RS-4];[0,1001]
analysis_app.TransformersLimitValues_35_220_STO;5;110;плёночная защита;[5,1001];0.035;0.009;0.01;0.004;0.01;0.0008;0.07;0.5;;;;;;;;;[Не указан,ГК,Nytro];[Не указан,RS-3,RS-4];[0,1001]
analysis_app.TransformersLimitValues_35_220_STO;6;110;свободное дыхание;[0,6];0.055;0.034;0.008;0.004;0.025;"0.0030
";0.04;0.41;;;;;;;;;[ГК,Nytro];[Не указан];[0,17]
analysis_app.TransformersLimitValues_35_220_STO;7;110;свободное дыхание;[0,6];0.055;0.034;0.008;0.004;0.025;"0.0030
";0.05;0.55;;;;;;;;;[ГК,Nytro];[Не указан];[16,1001]
analysis_app.TransformersLimitValues_35_220_STO;8;110;свободное дыхание;[0,6];0.055;0.034;0.008;0.004;0.025;0.006;0.04;0.41;;;;;;;;;[ГК,Nytro];[RS-3,RS-4];[0,17]
analysis_app.TransformersLimitValues_35_220_STO;9;110;свободное дыхание;[0,6];0.055;0.034;0.008;0.004;0.025;0.006;0.05;0.55;;;;;;;;;[ГК,Nytro];[RS-3,RS-4];[16,1001]
analysis_app.TransformersLimitValues_35_220_STO;10;110;свободное дыхание;[0,6];0.04;0.013;0.004;0.004;0.025;"0.0030
";0.04;0.41;;;;;;;;;[Не указан];[Не указан];[0,17]
